1263201035_happy_51286|Қасқыр саудагерге барып бор сатып алды.
1263201035_happy_51288|Қозғалысы жеп–жеңіл Хансұлу әлгінің толассыз күлкісін тұспалдап жүріп ақыры былқ еткен білегінен ұстап алды.
1263201035_happy_51298|Не үшін болып жатқан майдан?
1263201035_happy_51299|Неге мені мазалаған сұрақты телефон арқылы өзім сұрамасқа деген ой туды.
1263201035_happy_51304|Кешкі ойын тарағаннан кейін қызды үйіне шығарып салып тұрған беті.
1263201035_happy_51309|Әріп саны фонемамен тең әліпби жетілген бе, әлде әріп саны фонема санынан аз әліпби жетілген бе?деген сауал айналасында пікір таласып келеді.
1263201035_happy_51310|Британ азаматы америкалықты «шошқамды атты», деп сотқа береді.
1263201035_happy_51325|Қазақстанда қандай тарихи жерлер бар?
1263201035_happy_51340|Керемет! Астанада басқа қандай театрлар бар?
1263201035_happy_51343|Павлодар облысы – 127 Солтүстік Қазақстан облысы – 30 Түркістан облысы – 124, барлығы 3138 адам тіркелді.
1263201035_happy_51345|Көп ұзамай республика Парламенті Мәжілісінің әлеуметтік–мәдени даму комитетінің төрағалығына сайланды.
1263201035_happy_51355|Аты–ы... Екі дос сахна төрінде тағы да құшақтасады.
1263201035_happy_51361|Қызғылт жарық тіршілік белгісіндей болып көзді тартады.
1263201035_happy_51385|Бекең басын көтеріп, қалың қабағын ашты да: «Сол шіркіннен үмітім бар», – деді.
1263201035_happy_51399|Шабуылшылар мешіттерге жұма намазы кезінде басып кірген.
1263201035_happy_5141|– Болмайды, – дейді мысық, – қожайын маған: «Жүзікті сен алып жүр» деген, саған бере алмаймын.
1263201035_happy_51414|Маған «Отырар» мейманханасына қалай баруға болады?
1263201035_happy_51415|Ал, «тақиялы періштелердің» саны да аз емес.
1263201035_happy_51424|Жаңа калоштың ізі жолға мөр басқандай болып түседі.
